Id,Facing
30539,F
30540,F
30541,X
30542,F
30543,F
30544,F
30545,F
30546,X
30547,F
30548,F
30549,F
30550,F
30551,F
30552,X
30553,F
30554,X
30555,F
30556,F
30557,X
30558,F
30559,F
30560,F
30561,F
30562,F
30563,F
30564,X
30565,F
30566,F
30567,X
30568,F
30569,F
30570,F
30571,X
30572,F
30573,X
30574,X
30575,F
30576,X
30577,F
30578,X
30579,F
30580,X
30581,X
30582,X
30583,F
30584,X
30585,F
30586,F
30587,X
30588,X
30589,X
30590,F
30591,X
30592,X
30593,R
30594,X
30595,X
30596,F
30597,X
30598,X
30599,F
30600,F
30601,X
30602,F
30603,F
30604,F
30605,F
30606,F
30607,X
30608,F
30609,F
30610,F
30611,F
30612,X
30613,F
30614,F
30615,X
30616,F
30617,X
30618,F
30619,X
30620,F
30621,F
30622,F
30623,F
30624,F
30625,X
30626,F
30627,X
30628,F
30629,X
30630,F
30631,X
30632,F
30633,X
30634,X
30635,X
30636,F
30637,X
30638,F
30639,F
30640,F
30641,X
30642,F
30643,F
30644,F
30645,X
30646,F
30647,F
30648,L
30649,F
30650,X
30651,F
30652,X
30653,X
30654,X
30655,X
30656,F
30657,F
30658,X
30659,F
30660,X
30661,F
30662,F
30663,F
30664,X
30665,F
30666,X
30667,F
30668,X
30669,X
30670,F
30671,F
30672,X
30673,F
30674,F
30675,F
30676,X
30677,F
30678,X
30679,F
30680,F
30681,X
30682,X
30683,X
30684,X
30685,F
30686,F
30687,F
30688,F
30689,X
30690,F
30691,F
30692,F
30693,F
30694,X
30695,X
30696,X
30697,F
30698,X
30699,F
30700,X
30701,X
30702,F
30703,F
30704,X
30705,F
30706,F
30707,F
30708,F
30709,X
30710,F
30711,X
30712,F
30713,F
30714,F
30715,F
30716,X
30717,F
30718,F
30719,F
30720,X
30721,X
30722,F
30723,F
30724,F
30725,F
30726,F
30727,F
30728,F
30729,F
30730,X
30731,X
30732,F
30733,L
30734,X
30735,X
30736,X
30737,F
30738,X
30739,X
30740,X
30741,F
30742,X
30743,F
30744,F
30745,F
30746,F
30747,F
30748,F
30749,F
30750,X
30751,F
30752,X
30753,F
30754,F
30755,X
30756,F
30757,F
30758,F
30759,R
30760,F
30761,R
30762,F
30763,X
30764,F
30765,X
30766,F
30767,F
30768,F
30769,X
30770,F
30771,F
30772,F
30773,X
30774,F
30775,X
30776,X
30777,F
30778,X
30779,X
30780,F
30781,F
30782,F
30783,F
30784,X
30785,F
30786,F
30787,F
30788,L
30789,F
30790,X
30791,X
30792,R
30793,F
30794,X
30795,F
30796,F
30797,X
30798,F
30799,F
30800,X
30801,X
30802,X
30803,F
30804,F
30805,F
30806,F
30807,F
30808,X
30809,X
30810,F
30811,X
30812,F
30813,F
30814,F
30815,F
30816,F
30817,F
30818,F
30819,F
30820,X
30821,X
30822,X
30823,R
30824,F
30825,F
30826,X
30827,F
30828,F
30829,X
30830,X
30831,F
30832,X
30833,F
30834,F
30835,X
30836,X
30837,F
30838,X
30839,F
30840,F
30841,F
30842,X
30843,F
30844,F
30845,F
30846,F
30847,X
30848,F
30849,F
30850,F
30851,F
30852,F
30853,F
30854,F
30855,X
30856,X
30857,X
30858,F
30859,F
30860,F
30861,F
30862,F
30863,F
30864,F
30865,F
30866,F
30867,X
30868,F
30869,X
30870,F
30871,F
30872,F
30873,X
30874,X
30875,F
30876,X
30877,F
30878,X
30879,F
30880,F
30881,X
30882,F
30883,F
30884,R
30885,F
30886,F
30887,X
30888,F
30889,X
30890,X
30891,X
30892,F
30893,F
30894,F
30895,F
30896,X
30897,F
30898,X
30899,X
30900,F
30901,F
30902,X
30903,F
30904,F
30905,F
30906,F
30907,F
30908,F
30909,F
30910,F
30911,X
30912,X
30913,X
30914,X
30915,X
30916,F
30917,X
30918,F
30919,F
30920,X
30921,X
30922,F
30923,X
30924,F
30925,X
30926,X
30927,F
30928,X
30929,X
30930,X
30931,F
30932,F
30933,F
30934,F
30935,F
30936,X
30937,F
30938,F
30939,F
30940,F
30941,X
30942,X
30943,F
30944,F
30945,F
30946,F
30947,X
30948,X
30949,F
30950,F
30951,F
30952,X
30953,F
30954,X
30955,F
30956,X
30957,F
30958,X
30959,F
30960,F
30961,F
30962,F
30963,F
30964,X
30965,X
30966,X
30967,X
30968,X
30969,X
30970,X
30971,F
30972,X
30973,X
30974,F
30975,X
30976,F
30977,X
30978,F
30979,F
30980,F
30981,X
30982,X
30983,F
30984,X
30985,F
30986,F
30987,X
30988,X
30989,F
30990,F
30991,F
30992,F
30993,F
30994,F
30995,F
30996,F
30997,X
30998,F
30999,F
31000,F
31001,F
31002,F
31003,F
31004,X
31005,F
31006,X
31007,X
31008,X
31009,X
31010,F
31011,F
31012,F
31013,F
31014,X
31015,F
31016,F
31017,X
31018,F
31019,F
31020,X
31021,X
31022,F
31023,F
31024,F
31025,X
31026,F
31027,F
31028,X
31029,F
31030,F
31031,F
31032,X
31033,X
31034,F
31035,F
31036,F
31037,F
31038,F
31039,F
31040,F
31041,F
31042,X
31043,F
31044,F
31045,F
31046,F
31047,X
31048,F
31049,X
31050,X
31051,X
31052,F
31053,X
31054,X
31055,F
31056,F
31057,F
31058,F
31059,F
31060,F
31061,X
31062,F
31063,F
31064,X
31065,X
31066,F
31067,F
31068,F
31069,F
31070,F
31071,F
31072,X
31073,X
31074,F
31075,F
31076,X
31077,F
31078,X
31079,F
31080,X
31081,F
31082,F
31083,F
31084,X
31085,X
31086,F
31087,X
31088,X
31089,F
31090,F
31091,F
31092,F
31093,F
31094,X
31095,X
31096,F
31097,F
31098,X
31099,X
31100,X
31101,F
31102,X
31103,F
31104,X
31105,X
31106,F
31107,X
31108,F
31109,F
31110,F
31111,F
31112,F
31113,F
31114,F
31115,F
31116,F
31117,X
31118,X
31119,R
31120,F
31121,F
31122,X
31123,R
31124,F
31125,X
31126,F
31127,F
31128,F
31129,F
31130,F
31131,X
31132,X
31133,X
31134,L
31135,X
31136,F
31137,F
31138,X
31139,X
31140,F
31141,F
31142,F
31143,X
31144,X
31145,F
31146,R
31147,X
31148,X
31149,F
31150,X
31151,F
31152,X
31153,F
31154,X
31155,F
31156,F
31157,X
31158,F
31159,F
31160,X
31161,X
31162,X
31163,F
31164,F
31165,F
31166,X
31167,X
31168,F
31169,F
31170,X
31171,X
31172,F
31173,F
31174,F
31175,X
31176,F
31177,X
31178,F
31179,L
31180,X
31181,F
31182,X
31183,F
31184,F
31185,X
31186,F
31187,X
31188,F
31189,F
31190,F
31191,X
31192,X
31193,F
31194,F
31195,X
31196,X
31197,F
31198,F
31199,X
31200,X
31201,F
31202,X
31203,F
31204,F
31205,X
31206,F
31207,F
31208,X
31209,X
31210,R
31211,F
31212,F
31213,X
31214,F
31215,F
31216,F
31217,F
31218,X
31219,X
31220,X
31221,F
31222,X
31223,X
31224,L
31225,X
31226,X
31227,X
31228,F
31229,X
31230,F
31231,F
31232,F
31233,F
31234,X
31235,X
31236,X
31237,F
31238,F
31239,F
31240,F
31241,X
31242,F
31243,X
31244,F
31245,X
31246,F
31247,F
31248,F
31249,X
31250,X
31251,F
31252,X
31253,X
31254,F
31255,F
31256,F
31257,F
31258,F
31259,F
31260,X
31261,F
31262,F
31263,F
31264,F
31265,F
31266,X
31267,F
31268,F
31269,L
31270,F
31271,X
31272,F
31273,F
31274,X
31275,F
31276,F
31277,F
31278,F
31279,F
31280,X
31281,F
31282,F
31283,X
31284,X
31285,L
31286,F
31287,F
31288,X
31289,F
31290,X
31291,X
31292,X
31293,X
31294,X
31295,X
31296,F
31297,F
31298,X
31299,F
31300,F
31301,F
31302,F
31303,F
31304,X
31305,R
31306,F
31307,F
31308,F
31309,X
31310,X
31311,X
31312,X
31313,F
31314,X
31315,F
31316,F
31317,X
31318,X
31319,F
31320,X
31321,F
31322,F
31323,X
31324,F
31325,F
31326,F
31327,F
31328,X
31329,F
31330,F
31331,F
31332,X
31333,F
31334,F
31335,X
31336,F
31337,F
31338,X
31339,F
31340,F
31341,F
31342,X
31343,F
31344,X
31345,X
31346,F
31347,X
31348,X
31349,F
31350,F
31351,F
31352,X
31353,X
31354,F
31355,F
31356,F
31357,F
31358,F
31359,F
31360,F
31361,X
31362,X
31363,F
31364,F
31365,X
31366,X
31367,F
31368,F
31369,F
31370,X
31371,X
31372,X
31373,F
31374,X
31375,X
31376,F
31377,F
31378,X
31379,X
31380,F
31381,X
31382,F
31383,F
31384,F
31385,F
31386,X
31387,F
31388,F
31389,F
31390,X
31391,F
31392,X
31393,X
31394,F
31395,F
31396,X
31397,F
31398,F
31399,X
31400,F
31401,X
31402,F
31403,F
31404,F
31405,F
31406,F
31407,F
31408,F
31409,F
31410,X
31411,F
31412,X
31413,X
31414,F
31415,X
31416,F
31417,X
31418,L
31419,X
31420,X
31421,X
31422,X
31423,F
31424,F
31425,R
31426,F
31427,F
31428,F
31429,F
31430,F
31431,X
31432,F
31433,X
31434,F
31435,F
31436,F
31437,X
31438,F
31439,F
31440,X
31441,X
31442,F
31443,F
31444,F
31445,X
31446,X
31447,F
31448,F
31449,F
31450,X
31451,F
31452,F
31453,F
31454,F
31455,F
31456,F
31457,F
31458,F
31459,F
31460,X
31461,X
31462,X
31463,F
31464,X
31465,F
31466,F
31467,F
31468,F
31469,F
31470,F
31471,X
31472,F
31473,F
31474,F
31475,F
31476,F
31477,F
31478,X
31479,X
31480,X
31481,F
31482,X
31483,X
31484,F
31485,X
31486,X
31487,L
31488,F
31489,F
31490,X
31491,F
31492,F
31493,F
31494,X
31495,F
31496,F
31497,F
31498,X
31499,F
31500,F
31501,X
31502,X
31503,X
31504,R
31505,F
31506,F
31507,X
31508,R
31509,X
31510,F
31511,X
31512,X
31513,F
31514,F
31515,F
31516,X
31517,X
31518,X
31519,X
31520,X
31521,F
31522,F
31523,X
31524,R
31525,X
31526,F
31527,F
31528,X
31529,X
31530,X
31531,F
31532,F
31533,F
31534,R
31535,X
31536,F
31537,F
31538,F
31539,F
31540,X
31541,R
31542,F
31543,X
31544,F
31545,X
31546,X
31547,X
31548,X
31549,X
31550,F
31551,F
31552,F
31553,X
31554,X
31555,F
31556,F
31557,F
31558,X
31559,F
31560,F
31561,F
31562,X
31563,X
31564,X
31565,X
31566,F
31567,F
31568,X
31569,F
31570,F
31571,X
31572,F
31573,F
31574,F
31575,F
31576,X
31577,F
31578,F
31579,X
31580,X
31581,F
31582,F
31583,F
31584,X
31585,X
31586,F
31587,F
31588,X
31589,X
31590,F
31591,F
31592,X
31593,F
31594,X
31595,X
31596,X
31597,X
31598,X
31599,X
31600,F
31601,F
31602,F
31603,F
31604,F
31605,F
31606,X
31607,X
31608,X
31609,F
31610,X
31611,X
31612,F
31613,F
31614,X
31615,F
31616,F
31617,F
31618,X
31619,F
31620,X
31621,X
31622,X
31623,F
31624,F
31625,X
31626,F
31627,X
31628,X
31629,F
31630,F
31631,F
31632,F
31633,F
31634,F
31635,F
31636,X
31637,F
31638,F
31639,X
31640,R
31641,F
31642,F
31643,X
31644,X
31645,F
31646,R
31647,X
31648,X
31649,F
31650,F
31651,F
31652,F
31653,X
31654,X
31655,X
31656,X
31657,F
31658,X
31659,X
31660,F
31661,F
31662,F
31663,F
31664,X
31665,X
31666,X
31667,F
31668,X
31669,F
31670,F
31671,F
31672,F
31673,F
31674,F
31675,X
31676,F
31677,X
31678,F
31679,X
31680,X
31681,X
31682,X
31683,F
31684,X
31685,F
31686,F
31687,F
31688,F
31689,X
31690,X
31691,F
31692,F
31693,R
31694,X
31695,X
31696,X
31697,F
31698,F
31699,X
31700,X
31701,F
31702,F
31703,X
31704,F
31705,X
31706,F
31707,X
31708,X
31709,F
31710,X
31711,F
31712,F
31713,X
31714,F
31715,X
31716,X
31717,F
31718,F
31719,F
31720,X
31721,F
31722,X
31723,F
31724,F
31725,F
31726,F
31727,X
31728,X
31729,F
31730,X
31731,X
31732,F
31733,F
31734,X
31735,F
31736,X
31737,F
31738,F
31739,F
31740,F
31741,F
31742,X
31743,F
31744,X
31745,X
31746,X
31747,X
31748,F
31749,F
31750,F
31751,X
31752,X
31753,F
31754,X
31755,X
31756,X
31757,F
31758,X
31759,X
31760,F
31761,F
31762,F
31763,X
31764,F
31765,F
31766,F
31767,F
31768,F
31769,F
31770,X
31771,F
31772,F
31773,X
31774,X
31775,F
31776,F
31777,X
31778,F
31779,X
31780,F
31781,F
31782,F
31783,X
31784,X
31785,R
31786,X
31787,F
31788,X
31789,X
31790,F
31791,X
31792,F
31793,F
31794,F
31795,F
31796,F
31797,F
31798,X
31799,X
31800,X
31801,F
31802,F
31803,X
31804,F
31805,X
31806,F
31807,F
31808,F
31809,F
31810,X
31811,X
31812,X
31813,X
31814,F
31815,F
31816,X
31817,F
31818,F
31819,F
31820,F
31821,F
31822,X
31823,X
31824,F
31825,F
31826,X
31827,X
31828,X
31829,X
31830,F
31831,F
31832,X
31833,L
31834,F
31835,X
31836,X
31837,F
31838,F
31839,L
31840,F
31841,F
31842,F
31843,F
31844,F
31845,F
31846,F
31847,X
31848,X
31849,F
31850,F
31851,F
31852,F
31853,X
31854,R
31855,F
31856,F
31857,F
31858,R
31859,F
31860,X
31861,F
31862,F
31863,F
31864,X
31865,X
31866,X
31867,F
31868,X
31869,F
31870,F
31871,X
31872,F
31873,L
31874,F
31875,X
31876,F
31877,X
31878,F
31879,F
31880,F
31881,F
31882,F
31883,F
31884,F
31885,R
31886,F
31887,F
31888,F
31889,F
31890,X
31891,F
31892,X
31893,F
31894,F
31895,F
31896,F
31897,F
31898,X
31899,F
31900,X
31901,F
31902,X
31903,X
31904,F
31905,X
31906,F
31907,F
31908,F
31909,X
31910,F
31911,X
31912,X
31913,F
31914,F
31915,X
31916,X
31917,X
31918,F
31919,F
31920,F
31921,X
31922,F
31923,R
31924,F
31925,F
31926,F
31927,F
31928,F
31929,X
31930,F
31931,F
31932,F
31933,X
31934,X
31935,F
31936,F
31937,F
31938,X
31939,X
31940,X
31941,X
31942,X
31943,X
31944,F
31945,X
31946,F
31947,F
31948,F
31949,F
31950,F
31951,F
31952,F
31953,X
31954,F
31955,F
31956,F
31957,F
31958,F
31959,F
31960,F
31961,F
31962,F
31963,X
31964,F
31965,F
31966,F
31967,X
31968,F
31969,X
31970,F
31971,F
31972,F
31973,F
31974,X
31975,X
31976,F
31977,F
31978,R
31979,F
31980,F
31981,X
31982,F
31983,F
31984,F
31985,F
31986,F
31987,X
31988,X
31989,X
31990,X
31991,X
31992,F
31993,F
31994,X
31995,X
31996,L
31997,X
31998,F
31999,F
32000,X
32001,F
32002,X
32003,F
32004,F
32005,X
32006,F
32007,F
32008,F
32009,X
32010,F
32011,F
32012,F
32013,X
32014,X
32015,F
32016,F
32017,X
32018,F
32019,F
32020,R
32021,F
32022,F
32023,X
32024,X
32025,X
32026,F
32027,F
32028,F
32029,F
32030,F
32031,F
32032,X
32033,X
32034,X
32035,F
32036,R
32037,X
32038,F
32039,F
32040,X
32041,X
32042,F
32043,F
32044,X
32045,X
32046,F
32047,X
32048,X
32049,F
32050,F
32051,X
32052,F
32053,F
32054,L
32055,F
32056,X
32057,F
32058,X
32059,F
32060,F
32061,F
32062,F
32063,X
32064,F
32065,X
32066,F
32067,F
32068,X
32069,F
32070,F
32071,F
32072,X
32073,F
32074,X
32075,F
32076,F
32077,F
32078,X
32079,F
32080,F
32081,X
32082,F
32083,X
32084,X
32085,X
32086,F
32087,F
32088,R
32089,F
32090,X
32091,X
32092,F
32093,F
32094,F
32095,F
32096,X
32097,F
32098,X
32099,X
32100,F
32101,X
32102,F
32103,X
32104,X
32105,F
32106,F
32107,X
32108,X
32109,F
32110,F
32111,X
32112,F
32113,L
32114,F
32115,F
32116,X
32117,F
32118,F
32119,F
32120,X
32121,F
32122,F
32123,F
32124,X
32125,X
32126,F
32127,X
32128,F
32129,F
32130,F
32131,X
32132,X
32133,F
32134,F
32135,F
32136,F
32137,F
32138,F
32139,X
32140,F
32141,F
32142,F
32143,X
32144,X
32145,X
32146,F
32147,F
32148,X
32149,X
32150,X
32151,F
32152,X
32153,F
32154,F
32155,F
32156,F
32157,X
32158,F
32159,X
32160,X
32161,X
32162,F
32163,F
32164,X
32165,F
32166,X
32167,F
32168,X
32169,F
32170,F
32171,X
32172,F
32173,X
32174,F
32175,F
32176,X
32177,F
32178,F
32179,X
32180,X
32181,X
32182,F
32183,X
32184,X
32185,F
32186,X
32187,X
32188,F
32189,F
32190,F
32191,F
32192,F
32193,F
32194,X
32195,X
32196,X
32197,F
32198,R
32199,F
32200,X
32201,F
32202,F
32203,X
32204,X
32205,F
32206,X
32207,F
32208,F
32209,F
32210,X
32211,F
32212,X
32213,F
32214,F
32215,F
32216,X
32217,X
32218,F
32219,F
32220,X
32221,X
32222,X
32223,F
32224,X
32225,F
32226,F
32227,F
32228,X
32229,X
32230,X
32231,X
32232,X
32233,X
32234,X
32235,L
32236,F
32237,X
32238,F
32239,F
32240,X
32241,F
32242,F
32243,X
32244,X
32245,X
32246,X
32247,X
32248,F
32249,X
32250,F
32251,X
32252,X
32253,F
32254,X
32255,X
32256,F
32257,X
32258,F
32259,F
32260,F
32261,F
32262,X
32263,F
32264,F
32265,F
32266,X
32267,F
32268,F
32269,X
32270,F
32271,F
32272,F
32273,F
32274,X
32275,X
32276,X
32277,F
32278,F
32279,X
32280,F
32281,F
32282,X
32283,R
32284,X
32285,X
32286,F
32287,F
32288,F
32289,F
32290,F
32291,F
32292,F
32293,X
32294,F
32295,X
32296,F
32297,F
32298,F
32299,F
32300,F
32301,X
32302,F
32303,F
32304,X
32305,X
32306,F
32307,F
32308,F
32309,F
32310,F
32311,R
32312,F
32313,X
32314,X
32315,X
32316,X
32317,X
32318,F
32319,X
32320,F
32321,L
32322,F
32323,R
32324,F
32325,F
32326,X
32327,X
32328,X
32329,F
32330,X
32331,F
32332,F
32333,F
32334,X
32335,F
32336,F
32337,X
32338,R
32339,F
32340,F
32341,F
32342,F
32343,X
32344,X
32345,X
32346,X
32347,F
32348,F
32349,F
32350,F
32351,F
32352,F
32353,X
32354,X
32355,F
32356,F
32357,F
32358,X
32359,F
32360,X
32361,X
32362,F
32363,X
32364,F
32365,F
32366,F
32367,F
32368,X
32369,X
32370,X
32371,X
32372,F
32373,X
32374,X
32375,X
32376,F
32377,F
32378,F
32379,F
32380,X
32381,X
32382,F
32383,F
32384,F
32385,F
32386,F
32387,F
32388,X
32389,F
32390,X
32391,F
32392,X
32393,X
32394,X
32395,X
32396,X
32397,X
32398,F
32399,F
32400,F
32401,X
32402,F
32403,X
32404,X
32405,F
32406,F
32407,F
32408,F
32409,X
32410,F
32411,X
32412,F
32413,F
32414,F
32415,X
32416,F
32417,R
32418,X
32419,X
32420,F
32421,F
32422,X
32423,F
32424,F
32425,R
32426,F
32427,F
32428,R
32429,F
32430,X
32431,X
32432,F
32433,F
32434,X
32435,F
32436,F
32437,F
32438,R
32439,X
32440,X
32441,F
32442,F
32443,X
32444,X
32445,F
32446,F
32447,F
32448,X
32449,F
32450,X
32451,F
32452,F
32453,F
32454,X
32455,F
32456,X
32457,F
32458,F
32459,F
32460,F
32461,X
32462,F
32463,F
32464,X
32465,X
32466,F
32467,F
32468,X
32469,F
32470,F
32471,F
32472,F
32473,X
32474,F
32475,X
32476,X
32477,X
32478,X
32479,X
32480,F
32481,F
32482,X
32483,X
32484,F
32485,F
32486,X
32487,F
32488,F
32489,X
32490,F
32491,F
32492,X
32493,F
32494,X
32495,X
32496,F
32497,F
32498,F
32499,X
32500,X
32501,X
32502,X
32503,F
32504,X
32505,X
32506,X
32507,F
32508,X
32509,F
32510,X
32511,F
32512,F
32513,X
32514,F
32515,F
32516,F
32517,X
32518,F
32519,F
32520,F
32521,F
32522,F
32523,X
32524,F
32525,X
32526,F
32527,F
32528,F
32529,X
32530,F
32531,X
32532,F
32533,F
32534,F
32535,F
32536,X
32537,F
32538,F
32539,X
32540,F
32541,F
32542,F
32543,F
32544,F
32545,X
32546,X
32547,F
32548,X
32549,F
32550,F
32551,X
32552,F
32553,F
32554,X
32555,X
32556,X
32557,F
32558,F
32559,F
32560,F
32561,F
32562,F
32563,X
32564,X
32565,X
32566,F
32567,X
32568,X
32569,X
32570,F
32571,F
32572,X
32573,F
32574,X
32575,X
32576,X
32577,F
32578,F
32579,F
32580,F
32581,F
32582,X
32583,F
32584,F
32585,F
32586,F
32587,F
32588,X
32589,F
32590,X
32591,F
32592,X
32593,F
32594,X
32595,F
32596,X
32597,F
32598,X
32599,X
32600,X
32601,F
32602,X
32603,F
32604,F
32605,F
32606,X
32607,X
32608,F
32609,F
32610,F
32611,F
32612,F
32613,F
32614,X
32615,F
32616,F
32617,F
32618,F
32619,X
32620,X
32621,F
32622,F
32623,F
32624,F
32625,X
32626,F
32627,F
32628,X
32629,F
32630,X
32631,F
32632,F
32633,F
32634,F
32635,X
32636,F
32637,F
32638,X
32639,F
32640,X
32641,F
32642,F
32643,X
32644,X
32645,F
32646,F
32647,F
32648,X
32649,X
32650,X
32651,F
32652,F
32653,X
32654,X
32655,F
32656,X
32657,F
32658,F
32659,X
32660,F
32661,X
32662,F
32663,X
32664,F
32665,F
32666,F
32667,X
32668,F
32669,F
32670,F
32671,F
32672,F
32673,X
32674,F
32675,F
32676,X
32677,F
32678,X
32679,F
32680,F
32681,X
32682,F
32683,X
32684,F
32685,F
32686,F
32687,F
32688,F
32689,F
32690,F
32691,F
32692,F
32693,F
32694,X
32695,F
32696,X
32697,F
32698,X
32699,X
32700,X
32701,F
32702,X
32703,F
32704,X
32705,X
32706,F
32707,F
32708,F
32709,F
32710,X
32711,F
32712,F
32713,F
32714,X
32715,X
32716,F
32717,F
32718,X
32719,F
32720,X
32721,X
32722,F
32723,X
32724,F
32725,F
32726,F
32727,F
32728,F
32729,F
32730,X
32731,X
32732,F
32733,F
32734,X
32735,F
32736,X
32737,X
32738,F
32739,X
32740,F
32741,X
32742,F
32743,F
32744,F
32745,F
32746,F
32747,X
32748,X
32749,X
32750,X
32751,F
32752,F
32753,X
32754,F
32755,F
32756,F
32757,F
32758,F
32759,F
32760,F
32761,F
32762,F
32763,F
32764,X
32765,F
32766,F
32767,F
32768,F
32769,X
32770,X
32771,F
32772,X
32773,F
32774,F
32775,X
32776,R
32777,X
32778,X
32779,F
32780,F
32781,F
32782,F
32783,F
32784,F
32785,F
32786,F
32787,F
32788,F
32789,L
32790,F
32791,X
32792,X
32793,F
32794,F
32795,F
32796,F
32797,F
