Id,Camera,Angle,Width,Height,Facing
128,F,23,77,82,F
129,F,25,87,82,F
130,R,68,114,220,F
131,L,237,92,109,X
132,R,71,57,99,F
133,F,24,107,119,F
134,F,20,102,112,F
135,X,203,34,36,X
136,L,274,32,47,L
137,F,22,155,158,F
138,R,81,56,98,F
139,F,20,140,144,F
140,F,42,168,150,F
141,F,11,57,66,F
142,F,18,91,88,F
143,R,61,104,171,F
144,F,24,98,109,F
145,L,231,65,73,X
146,X,171,36,41,X
147,F,28,162,167,F
148,F,23,112,135,F
149,L,252,57,88,X
150,L,303,78,117,F
151,X,139,69,42,R
152,F,21,71,80,F
153,L,243,83,92,X
154,L,247,131,149,X
155,X,211,84,81,X
156,L,235,47,46,X
157,R,44,134,132,F
158,R,57,100,125,F
159,L,260,35,37,L
160,R,72,68,115,F
161,X,217,103,98,X
162,R,75,52,132,F
163,R,61,138,103,F
164,F,24,134,106,F
165,F,31,109,109,F
166,F,25,144,146,F
167,F,22,50,56,F
168,F,20,187,202,F
169,R,75,115,153,F
170,F,25,74,86,F
171,F,25,116,98,F
172,R,81,93,170,F
173,X,218,92,97,X
174,R,77,54,126,F
175,F,21,121,119,F
176,L,309,185,195,F
177,L,251,62,93,X
178,R,53,137,126,F
179,R,62,159,230,F
180,R,74,117,128,F
181,L,245,115,128,X
182,R,52,190,120,F
183,R,42,132,190,F
184,L,245,109,120,X
185,L,226,196,136,X
186,L,247,56,84,X
187,L,250,30,43,X
188,R,52,129,120,F
189,R,48,298,275,F
190,X,203,43,64,X
191,F,26,85,91,F
192,L,243,39,52,X
193,F,333,43,37,F
194,R,74,44,42,F
195,X,199,52,55,X
196,L,246,69,90,F
197,R,54,135,152,F
198,R,62,172,131,F
199,F,18,64,68,F
200,R,85,58,61,R
201,F,11,101,106,F
202,R,109,156,142,R
203,R,74,48,116,F
204,F,5,35,40,F
205,X,229,126,130,X
206,R,58,195,227,F
207,L,245,40,40,X
208,L,253,33,67,X
209,R,80,127,194,F
210,X,203,50,50,X
211,F,23,101,101,F
212,R,50,204,183,F
213,L,246,81,94,X
214,R,52,90,98,F
215,R,75,155,274,F
216,X,222,109,92,X
217,X,219,76,94,X
218,L,244,40,52,X
219,L,252,45,87,L
220,X,223,139,165,X
221,R,77,58,140,F
222,L,245,58,69,X
223,F,22,94,87,F
224,F,40,141,131,F
225,L,246,68,71,X
226,X,215,110,110,X
227,L,249,78,97,X
228,F,23,91,93,F
229,F,26,217,211,F
230,X,198,43,48,X
231,F,13,55,58,F
232,F,27,136,130,F
233,R,47,182,181,F
234,L,227,169,123,X
235,X,220,65,52,X
236,F,41,110,105,F
237,R,64,102,152,F
238,F,342,78,102,F
239,X,233,44,59,X
240,X,198,41,46,X
241,F,23,99,87,F
242,F,22,108,112,F
243,R,58,108,109,F
244,L,248,59,79,X
245,R,69,68,95,F
246,L,287,43,52,F
247,F,319,46,36,F
248,L,244,78,96,X
249,R,54,137,140,F
250,L,254,60,96,X
251,R,100,41,36,R
252,F,21,77,82,F
253,R,60,116,156,F
254,L,249,42,74,X
255,L,302,195,198,F
256,R,58,99,141,F
257,F,36,200,158,F
258,R,67,80,99,F
259,L,231,104,86,X
260,X,223,67,59,X
261,X,204,37,40,X
262,X,195,35,36,X
263,L,241,46,55,X
264,L,253,41,82,X
265,F,14,81,85,F
266,X,211,89,71,X
267,F,38,209,135,F
268,R,47,203,178,F
269,X,208,66,71,X
270,F,43,126,117,F
271,R,52,229,235,F
272,X,224,127,119,X
273,R,70,131,194,F
274,F,325,90,104,F
275,R,49,166,180,F
276,F,13,74,80,F
277,F,31,105,113,F
278,F,17,87,92,F
279,X,227,116,101,X
280,R,73,70,137,F
281,F,23,93,96,F
282,L,241,56,47,X
283,L,244,63,71,X
284,X,222,155,143,X
285,L,243,87,110,X
286,F,26,154,149,F
287,X,198,51,58,X
288,L,254,40,55,X
289,R,66,85,95,F
290,X,207,58,58,X
291,X,222,89,100,X
292,F,8,72,73,F
293,F,27,66,71,F
294,F,18,90,97,F
295,X,202,57,56,X
296,L,265,24,50,X
297,L,327,50,35,L
298,F,19,121,122,F
299,F,38,214,200,F
300,L,230,121,121,X
301,X,237,56,53,X
302,X,211,42,68,X
303,L,237,41,31,X
304,F,23,81,79,F
305,L,259,49,77,X
306,L,249,59,82,X
307,X,217,182,158,X
308,F,13,64,70,F
309,X,242,54,42,X
310,R,49,169,135,F
311,L,250,80,115,X
312,L,256,40,73,X
313,F,20,95,106,F
314,F,26,100,111,F
315,X,222,103,106,X
316,F,35,113,105,F
317,R,67,105,145,F
318,R,45,226,193,F
319,X,204,45,43,X
320,L,252,42,63,X
321,F,26,105,102,F
322,L,240,93,105,X
323,R,70,81,113,F
324,X,197,43,43,X
325,X,208,44,42,X
326,L,309,90,71,F
327,L,248,46,68,X
328,L,255,62,103,X
329,F,17,97,98,F
330,R,45,107,88,F
331,R,78,61,165,F
332,F,10,31,40,F
333,L,252,36,74,X
334,F,44,328,281,F
335,R,65,110,162,F
336,R,47,182,138,F
337,F,29,144,131,F
338,F,5,33,37,F
339,R,58,111,110,F
340,R,67,80,97,F
341,R,78,120,212,F
342,R,90,67,74,R
343,R,53,117,104,F
344,L,254,71,83,X
345,F,43,210,225,F
346,X,215,45,47,X
347,F,344,70,72,F
348,R,44,165,141,F
349,X,211,95,94,X
350,L,285,34,88,F
351,F,19,86,90,F
352,L,254,40,85,X
353,R,58,172,204,F
354,L,246,47,93,X
355,F,34,92,92,F
356,X,228,149,143,X
357,X,209,86,78,X
358,L,244,65,91,X
359,F,18,51,55,F
360,F,11,81,81,F
361,L,233,43,35,X
362,R,71,127,163,F
363,F,24,66,63,F
364,L,251,39,62,X
365,R,74,68,72,F
366,L,259,25,55,X
367,X,212,47,49,X
368,R,76,107,150,F
369,L,262,32,79,F
370,F,24,118,144,F
371,X,219,89,85,X
372,X,225,128,105,X
373,F,25,120,117,F
374,X,203,66,71,X
375,X,215,106,100,X
376,F,22,116,108,F
377,R,71,80,124,F
378,R,77,70,158,F
379,F,20,114,116,F
380,R,57,262,291,F
381,X,212,66,64,X
382,F,22,95,87,F
383,F,13,51,54,F
384,F,43,293,266,F
385,F,40,235,244,F
386,F,26,117,125,F
387,X,213,49,47,X
388,X,206,40,43,X
389,F,30,74,64,F
390,R,75,46,102,F
391,X,251,104,92,X
392,R,58,173,174,F
393,X,223,92,83,X
394,L,289,46,40,L
395,F,35,105,145,F
396,F,22,108,113,F
397,R,75,62,132,F
398,R,47,195,145,F
399,L,228,94,77,X
400,X,235,54,51,X
401,L,261,32,95,X
402,X,206,42,44,X
403,F,28,184,219,F
404,L,249,41,70,X
405,F,17,51,57,F
406,R,58,181,165,F
407,X,197,34,39,X
408,L,247,58,81,X
409,L,240,35,38,X
410,X,210,43,46,X
411,X,199,33,35,X
412,X,220,36,67,X
413,R,68,93,128,F
414,L,248,75,142,X
415,R,56,148,152,F
416,L,246,36,47,X
417,X,206,35,35,X
418,F,12,52,58,F
419,L,243,96,114,X
420,R,50,192,205,F
421,X,196,53,51,X
422,R,73,71,154,F
423,L,236,109,108,X
424,R,80,92,186,F
425,R,67,173,195,F
426,L,246,33,54,X
427,L,236,49,55,X
428,R,71,82,187,F
429,L,237,121,117,X
430,X,204,60,72,X
431,F,18,86,100,F
432,F,37,167,170,F
433,L,245,77,115,X
434,R,59,127,135,F
435,R,76,165,324,F
436,L,249,45,65,X
437,L,278,30,77,X
438,L,250,48,80,X
439,R,85,64,134,F
440,R,67,73,76,F
441,F,23,50,50,F
442,R,72,61,131,X
443,F,12,62,66,F
444,R,58,208,217,F
445,R,62,110,150,F
446,X,214,70,68,X
447,F,19,42,71,F
448,F,17,57,70,F
449,F,22,105,106,F
450,X,212,93,88,X
451,X,224,72,59,X
452,L,250,32,60,X
453,X,214,78,84,X
454,X,135,48,33,R
455,F,28,80,82,F
456,F,15,40,37,F
457,F,31,59,69,F
458,L,230,54,40,X
459,F,31,85,89,F
460,L,246,38,54,X
461,L,311,48,31,F
462,R,76,78,175,F
463,X,213,63,72,X
464,F,35,161,160,F
465,F,19,123,121,F
466,L,254,26,52,X
467,F,34,90,87,F
468,F,12,116,119,F
469,F,29,80,80,F
470,R,77,110,134,F
471,L,239,41,33,X
472,L,224,62,50,X
473,R,67,63,103,F
474,F,21,112,106,F
475,F,37,123,123,F
476,F,48,122,151,F
477,X,220,77,77,X
478,L,222,55,38,X
479,L,248,42,55,X
480,R,85,30,69,F
481,F,319,68,49,F
482,L,240,47,64,X
483,L,233,96,102,X
484,F,17,98,114,F
485,F,329,123,123,F
486,X,232,114,106,X
487,L,246,68,80,X
488,R,53,82,75,F
489,F,20,96,95,F
490,L,256,41,96,X
491,R,85,67,158,F
492,R,75,57,115,F
493,L,293,95,165,F
494,L,298,117,163,F
495,F,30,155,146,F
496,F,31,52,40,L
497,F,336,114,126,F
498,X,223,123,110,X
499,R,43,144,126,F
500,X,204,48,60,X
501,F,315,202,230,F
502,F,33,89,88,F
503,R,97,55,69,R
504,R,72,92,137,F
505,R,64,29,56,R
506,R,90,86,139,F
507,F,45,261,226,F
508,L,246,55,77,X
509,R,72,80,167,F
510,F,35,160,134,F
511,F,12,59,70,F
512,R,69,63,113,F
513,R,76,48,96,F
514,X,199,91,103,X
515,R,70,140,186,F
516,X,208,63,59,X
517,F,22,103,103,F
518,F,42,165,162,F
519,X,208,75,76,X
520,R,64,167,219,F
521,R,92,61,152,F
522,L,248,86,120,X
523,R,103,36,37,R
524,L,254,50,116,X
525,L,254,64,147,X
526,L,225,66,54,X
527,X,228,140,170,X
528,R,42,114,84,F
529,F,20,154,160,F
530,L,233,102,96,X
531,F,32,131,130,F
532,F,36,73,86,F
533,F,28,102,120,F
534,L,263,44,123,X
535,R,76,94,166,F
536,F,45,66,42,F
537,L,265,38,39,L
538,R,56,146,145,F
539,F,28,145,152,F
540,L,241,55,76,X
541,R,73,110,157,F
542,F,11,34,33,F
543,X,217,95,95,X
544,R,52,51,31,F
545,F,23,74,75,F
546,R,45,200,161,F
547,F,32,54,55,F
548,F,41,338,239,F
549,R,65,78,147,F
550,X,202,76,75,X
551,L,264,55,73,F
552,X,206,33,34,X
553,L,230,45,36,X
554,L,238,81,95,X
555,X,211,92,99,X
556,F,34,122,112,F
557,R,80,132,263,F
558,R,80,41,138,F
559,R,48,155,173,F
560,L,247,58,72,X
561,L,292,32,32,L
562,L,230,43,38,X
563,X,207,43,47,X
564,R,67,158,201,F
565,F,46,133,124,F
566,L,272,40,45,L
567,X,221,82,71,X
568,R,49,154,144,F
569,R,63,106,112,F
570,R,70,61,111,F
571,X,219,42,36,L
572,F,21,129,133,F
573,L,260,34,67,X
574,R,52,84,81,F
575,R,57,291,358,F
576,L,251,79,126,X
577,F,18,120,135,F
578,R,46,231,201,F
579,L,251,102,88,X
580,R,68,57,79,F
581,X,225,151,121,X
582,L,260,42,39,L
583,R,67,197,206,F
584,X,209,56,64,X
585,L,258,54,73,X
586,F,21,66,73,F
587,F,49,60,54,F
588,X,212,78,89,X
589,F,21,97,99,F
590,X,222,102,111,X
591,R,72,63,142,F
592,X,211,77,82,X
593,L,237,63,67,X
594,F,47,127,111,F
595,R,45,269,214,F
596,R,82,51,123,F
597,R,44,110,89,F
598,L,249,56,97,X
599,R,58,112,113,F
600,R,56,120,141,F
601,X,200,66,69,X
602,F,22,85,102,F
603,R,47,178,144,F
604,F,36,207,210,F
605,X,226,105,104,X
606,R,70,92,118,F
607,X,217,133,116,X
608,R,78,69,120,F
609,L,226,75,60,X
610,X,242,78,82,X
611,F,29,128,132,F
612,L,253,46,80,X
613,R,53,87,83,F
614,X,208,45,42,X
615,R,64,89,105,F
616,X,201,37,36,X
617,F,311,84,188,F
618,L,244,51,68,X
619,F,20,110,127,F
620,R,52,182,167,F
621,L,244,70,84,X
622,X,220,42,45,X
623,F,27,142,153,F
624,F,28,87,95,F
625,L,247,66,60,X
626,L,253,40,69,X
627,F,42,75,69,F
628,R,67,114,165,F
629,X,228,87,86,X
630,R,72,72,128,F
631,F,22,93,97,F
632,R,68,127,191,F
633,R,68,54,89,F
634,R,48,135,100,F
635,R,59,119,114,F
636,L,246,87,103,X
637,L,244,51,81,X
638,F,27,93,90,F
639,F,17,48,53,F
640,L,242,88,106,F
641,L,236,115,130,X
642,R,81,50,131,F
643,L,300,66,134,F
644,F,14,85,97,F
645,F,16,76,64,F
646,R,52,113,106,F
647,R,60,142,166,F
648,L,246,50,61,X
649,X,222,58,45,X
650,X,198,46,48,X
651,X,202,36,48,X
652,L,244,67,81,X
653,F,21,66,71,F
654,F,28,98,109,F
655,R,58,123,132,F
656,R,70,124,172,F
657,R,93,73,87,R
658,L,248,44,64,X
659,X,206,92,81,X
660,R,66,161,226,F
661,L,256,60,117,X
662,R,56,139,135,F
663,R,68,79,118,F
664,F,12,64,62,F
665,F,15,94,89,F
666,F,16,101,113,F
667,X,219,44,46,X
668,F,34,148,129,F
669,R,73,91,171,F
670,R,109,33,36,X
671,R,73,68,108,F
672,F,13,60,61,F
673,L,296,174,150,F
674,L,307,150,136,F
675,X,201,60,76,X
676,R,45,141,106,F
677,R,73,130,182,F
678,F,42,175,152,F
679,L,275,30,39,F
680,L,241,53,80,X
681,L,222,103,99,X
682,F,22,40,55,F
683,F,14,53,55,F
684,R,73,71,111,F
685,X,203,40,33,X
686,L,275,58,98,F
687,L,240,89,113,X
688,F,24,105,113,F
689,F,322,39,33,L
690,F,16,82,88,F
691,X,141,115,214,X
692,X,211,71,77,X
693,L,240,34,40,X
694,F,37,150,174,F
695,R,93,54,57,R
696,R,46,335,240,F
697,R,64,140,136,F
698,R,74,42,97,F
699,X,227,86,73,X
700,R,52,145,126,F
701,F,27,150,141,F
702,X,199,52,51,X
703,F,27,157,164,F
704,L,254,43,62,X
705,R,77,62,143,F
706,X,218,95,98,X
707,X,197,36,41,X
708,F,16,57,57,F
709,L,249,49,78,X
710,X,223,103,112,X
711,F,20,147,135,F
712,F,55,310,322,F
713,L,258,117,114,X
714,X,221,94,87,X
715,F,32,69,89,F
716,X,218,85,72,X
717,R,55,109,126,F
718,X,218,78,68,X
719,X,199,46,50,X
720,X,226,119,131,X
721,R,66,124,147,F
722,R,64,263,332,F
723,R,56,145,149,F
724,X,200,35,44,X
725,X,203,68,70,X
726,L,301,51,46,L
727,R,52,176,169,F
728,X,233,123,113,X
729,X,195,57,59,X
730,F,30,100,94,F
731,L,248,33,34,X
732,F,19,66,73,F
733,L,258,38,71,X
734,X,202,46,48,X
735,R,71,57,85,F
736,L,260,90,145,X
737,R,93,42,43,R
738,X,221,104,90,X
739,L,251,61,82,X
740,F,26,131,136,F
741,L,260,41,86,X
742,L,244,55,63,X
743,R,77,55,100,R
744,F,28,122,124,F
745,R,55,102,102,F
746,L,256,46,108,X
747,R,76,66,128,F
748,R,42,89,65,F
749,L,252,35,59,X
750,L,227,75,55,X
751,L,243,93,107,X
752,L,290,39,60,F
753,F,20,74,88,F
754,F,21,49,52,F
755,L,249,32,72,X
756,L,251,41,60,X
757,R,46,345,264,F
758,R,43,167,140,F
759,F,21,149,175,F
760,X,219,84,61,X
761,R,56,202,176,F
762,F,18,63,63,F
763,R,67,111,114,F
764,X,211,51,59,X
765,X,210,39,32,X
766,R,57,206,197,F
767,R,76,103,159,F
768,L,239,44,50,X
769,X,239,82,85,X
770,R,48,226,211,F
771,L,252,62,79,X
772,R,71,63,101,F
773,R,57,166,154,F
774,L,243,61,90,X
775,R,70,85,127,F
776,R,68,126,187,F
777,X,224,116,103,X
778,F,331,85,81,F
779,X,204,42,43,X
780,X,201,57,64,X
781,F,22,121,118,F
782,F,14,43,48,F
783,X,225,146,140,X
784,F,17,120,125,F
785,R,44,124,116,F
786,R,61,176,197,F
787,L,255,38,33,L
788,R,133,153,132,X
789,R,58,85,107,F
790,L,254,61,100,X
791,L,242,55,73,X
792,F,14,98,102,F
793,F,12,71,71,F
794,R,87,34,55,F
795,X,202,32,40,X
796,F,19,52,50,F
797,F,34,114,113,F
798,X,199,54,57,X
799,R,76,148,251,F
800,X,212,44,38,X
801,X,204,45,50,X
802,X,214,125,106,X
803,L,247,43,74,X
804,R,66,85,105,F
805,R,69,218,318,F
806,R,68,67,109,F
807,X,201,32,33,X
808,L,231,107,88,X
809,X,224,78,61,X
810,F,28,105,111,F
811,R,53,123,137,F
812,L,246,53,79,X
813,R,48,138,132,F
814,X,212,75,92,X
815,F,27,144,146,F
816,F,13,76,70,F
817,R,71,37,65,F
818,F,22,98,103,F
819,F,329,107,117,F
820,F,15,47,65,F
821,X,203,41,38,X
822,R,65,115,160,F
823,X,220,114,107,X
824,X,203,138,146,X
825,L,281,97,108,F
826,F,21,90,97,F
827,R,46,65,52,F
828,L,249,50,79,X
829,F,19,140,129,F
830,F,33,67,76,F
831,X,213,54,63,X
832,X,225,129,125,X
833,L,236,75,87,X
834,R,49,283,295,F
835,X,227,70,60,X
836,R,54,169,158,F
837,X,212,57,50,X
838,F,23,43,42,F
839,L,249,42,46,X
840,X,217,45,42,X
841,R,104,37,45,X
842,R,53,117,117,F
843,R,98,33,33,R
844,F,29,165,183,F
845,L,232,58,63,X
846,L,255,51,68,X
847,L,229,141,114,X
848,X,224,52,45,X
849,R,93,35,38,R
850,R,66,119,157,F
851,F,15,81,83,F
852,X,212,57,58,X
853,L,234,129,128,X
854,X,217,102,87,X
855,L,226,54,40,X
856,L,246,38,71,X
857,L,245,113,140,X
858,L,229,119,100,X
859,L,268,43,46,F
860,F,31,108,102,F
861,L,249,75,107,X
862,L,292,52,104,F
863,L,257,32,74,X
864,F,42,186,174,F
865,F,22,139,122,F
866,L,264,25,54,F
867,R,59,82,118,F
868,L,242,215,228,X
869,R,60,96,111,F
870,F,24,151,148,F
871,L,252,58,92,X
872,R,81,96,184,F
873,X,221,74,65,X
874,R,54,143,126,F
875,F,18,90,93,F
876,L,264,35,90,F
877,R,46,171,127,F
878,R,68,111,139,F
879,F,18,131,164,F
880,R,47,217,163,F
881,F,12,82,74,F
882,F,23,61,74,F
883,F,44,198,184,F
884,L,232,51,44,X
885,L,237,76,90,X
886,X,221,85,84,X
887,R,67,75,120,F
888,R,74,30,65,F
889,F,36,118,110,F
890,X,198,46,48,X
891,R,72,143,170,F
892,R,49,131,117,F
893,R,71,86,111,F
894,F,10,54,60,F
895,R,47,179,154,F
896,X,216,57,53,X
897,F,31,127,119,F
898,F,28,149,147,F
899,X,198,56,49,X
900,L,229,49,27,X
901,R,76,81,144,F
902,R,53,137,115,F
903,F,22,65,71,F
904,F,15,87,89,F
905,R,71,86,113,F
906,R,88,33,82,F
907,X,226,91,101,X
908,R,69,91,173,F
909,F,16,92,94,F
910,F,28,129,138,F
911,F,34,137,120,F
912,L,247,91,100,X
913,R,90,49,50,F
914,L,248,87,96,X
915,R,49,129,128,F
916,L,254,47,87,X
917,L,253,90,135,X
918,F,23,135,145,F
919,R,75,77,192,F
920,R,52,149,169,F
921,F,14,68,75,F
922,F,35,142,122,F
923,F,21,91,100,F
924,L,225,122,115,X
925,R,67,90,125,F
926,X,206,48,50,X
927,L,242,88,99,X
928,L,247,34,46,X
929,X,203,36,39,X
930,F,36,151,146,F
931,X,214,101,113,X
932,L,246,84,100,X
933,R,77,121,125,R
934,F,21,166,160,F
935,R,73,61,131,F
936,R,75,44,111,F
937,X,203,51,55,X
938,F,30,143,133,F
939,L,243,138,147,X
940,F,22,84,75,F
941,X,201,56,52,X
942,R,71,128,218,F
943,R,67,55,103,F
944,F,28,85,93,F
945,F,17,56,86,F
946,F,338,58,62,F
947,X,208,71,95,X
948,F,22,80,85,F
949,X,224,144,115,X
950,L,268,36,78,F
951,L,251,57,88,X
952,F,13,116,135,F
953,R,83,77,102,R
954,F,25,69,75,F
955,F,16,127,112,F
956,R,66,123,154,F
957,L,243,37,50,X
958,L,256,66,57,X
959,L,256,43,89,X
960,L,222,112,86,X
961,F,22,65,64,F
962,R,107,56,68,R
963,R,44,139,116,F
964,F,28,222,207,F
965,F,22,69,75,F
966,R,49,54,36,F
967,R,79,55,155,F
968,F,38,172,157,F
969,X,212,109,103,X
970,L,233,40,56,X
971,F,319,44,33,L
972,F,19,93,96,F
973,R,59,187,195,F
974,R,73,101,111,F
975,L,256,67,79,X
976,R,60,61,69,F
977,F,20,75,79,F
978,F,44,276,236,F
979,F,21,90,102,F
980,F,20,138,133,F
981,X,213,73,87,X
982,X,212,88,87,X
983,L,248,74,127,X
984,F,21,68,77,F
985,R,49,127,122,F
986,R,72,105,152,F
987,X,210,116,137,X
988,X,205,124,119,X
989,R,59,80,131,F
990,R,54,125,123,F
991,F,42,184,229,F
992,L,259,32,100,X
993,L,256,42,72,X
994,R,61,78,96,F
995,F,28,141,175,F
996,X,225,112,151,X
997,R,63,126,167,F
998,R,75,88,185,F
999,R,63,45,64,F
1000,L,250,52,67,X
1001,R,86,49,54,R
1002,L,241,33,35,X
1003,R,75,76,166,F
1004,R,125,72,62,X
1005,L,243,39,58,X
1006,L,303,91,82,F
1007,R,71,83,195,F
1008,R,77,44,117,F
1009,F,16,118,130,F
1010,R,69,64,88,F
1011,R,58,232,242,F
1012,R,65,197,195,F
1013,R,49,99,141,F
1014,F,40,133,154,F
1015,R,70,107,164,F
1016,R,65,79,95,F
1017,F,335,66,65,F
1018,F,25,76,82,F
1019,R,77,73,179,F
1020,X,211,47,49,X
1021,R,56,84,80,F
1022,R,65,80,134,F
1023,R,61,126,172,F
1024,X,221,50,39,X
1025,R,44,245,201,F
1026,L,264,34,42,L
1027,F,24,169,193,F
1028,L,284,73,158,F
1029,F,40,232,183,F
1030,X,228,105,104,X
1031,X,214,123,115,X
1032,R,43,56,34,F
1033,F,28,148,162,F
1034,R,80,59,179,F
1035,F,42,313,225,F
1036,L,247,30,39,X
1037,L,311,102,102,F
1038,R,44,230,171,F
1039,X,209,94,87,X
1040,F,33,181,194,F
1041,L,260,40,111,X
1042,L,255,40,90,X
1043,R,79,71,123,F
1044,R,77,117,270,F
1045,F,44,264,260,F
1046,R,77,161,164,F
1047,F,36,182,168,F
1048,X,223,86,101,X
1049,F,26,104,117,F
1050,F,339,73,79,F
1051,R,77,51,74,F
1052,L,279,47,116,F
1053,F,42,137,166,F
1054,F,19,121,123,F
1055,F,38,123,126,F
1056,R,44,290,244,F
1057,X,215,90,96,X
1058,X,228,89,106,X
1059,R,96,39,42,R
1060,F,54,62,59,F
1061,F,34,136,126,F
1062,R,86,42,115,F
1063,L,277,36,35,L
1064,L,245,28,38,X
1065,F,35,174,173,F
1066,F,30,104,131,F
1067,X,214,92,70,X
1068,F,22,105,115,F
1069,R,56,110,102,F
1070,R,48,196,186,F
1071,L,259,34,91,X
1072,R,55,114,127,F
1073,R,66,108,109,F
1074,F,46,121,135,F
1075,F,20,127,123,F
1076,R,73,78,153,F
1077,X,210,94,94,X
1078,L,246,37,46,X
1079,L,255,53,92,X
1080,F,15,100,96,F
1081,F,16,85,84,F
1082,F,27,131,127,F
1083,F,27,94,98,F
1084,X,206,73,74,X
1085,R,102,33,35,R
1086,F,24,110,121,F
1087,R,55,178,161,F
1088,X,209,39,31,X
1089,L,254,67,97,X
1090,L,244,74,73,X
1091,F,28,100,100,F
1092,L,242,62,75,X
1093,L,264,31,85,F
1094,L,243,125,126,X
1095,R,53,175,173,F
1096,L,235,150,134,X
1097,F,35,64,63,F
1098,L,227,119,104,X
1099,R,73,71,200,F
1100,X,214,70,57,X
1101,F,17,63,62,F
1102,F,14,54,54,F
1103,X,217,78,78,X
1104,L,235,68,65,X
1105,X,198,60,62,X
1106,X,209,102,86,X
1107,F,24,75,68,F
1108,F,26,81,83,F
1109,R,65,121,160,F
1110,L,272,38,43,F
1111,R,55,172,168,F
1112,R,63,60,65,F
1113,L,232,66,62,X
1114,R,77,132,181,F
1115,X,157,41,58,L
1116,L,228,94,77,X
1117,X,228,122,144,X
1118,F,30,211,216,F
1119,L,242,40,36,X
1120,F,19,86,86,F
1121,R,74,59,118,F
1122,F,29,100,107,F
1123,F,41,127,98,F
1124,L,251,60,103,X
1125,X,223,137,150,X
1126,L,245,67,101,X
1127,L,250,67,104,F
1128,X,215,80,74,X
1129,L,261,33,71,X
1130,R,61,232,216,F
1131,L,238,56,88,X
1132,L,255,38,81,X
1133,F,13,65,64,F
1134,L,227,92,71,X
1135,L,234,137,117,X
1136,L,225,93,83,X
1137,R,71,74,111,F
1138,L,244,85,110,X
1139,L,261,57,165,X
1140,L,264,31,66,X
1141,L,250,72,115,X
1142,R,70,87,197,F
1143,X,217,88,91,X
1144,F,10,50,59,F
1145,F,30,116,130,F
1146,F,17,55,56,F
1147,F,27,72,142,F
1148,F,27,82,88,F
1149,F,15,95,115,F
1150,X,228,62,65,X
